iso,country,bias.adder,HIA
tun,Tunisia,-30.76887153,dalys
tur,Turkey,4.766917029,dalys
twn,Taiwan (Province of China),-2975.757247,dalys
tza,United Republic of Tanzania,3564.754791,dalys
uga,Uganda,3030.973387,dalys
ukr,Ukraine,141.8028676,dalys
ury,Uruguay,-2065.257084,dalys
usa,United States of America,-0.251019209,dalys
uzb,Uzbekistan,295.6770429,dalys
ven,Venezuela (Bolivarian Republic of),-435.3913779,dalys
vnm,Viet Nam,930.7200124,dalys
yem,Yemen,820.8925343,dalys
zaf,South Africa,-5520.583805,dalys
zmb,Zambia,603.2687303,dalys
zwe,Zimbabwe,185.5421499,dalys
afg,Afghanistan,7.546952916,deaths
ago,Angola,12.05973843,deaths
alb,Albania,24.06763711,deaths
are,United Arab Emirates,-21.60009294,deaths
arg,Argentina,-1.101589962,deaths
arm,Armenia,-5.745937097,deaths
aus,Australia,-0.056756665,deaths
aut,Austria,-0.0776533,deaths
aze,Azerbaijan,-3.247956513,deaths
bdi,Burundi,62.99043043,deaths
bel,Belgium,-2.40140455,deaths
ben,Benin,88.95210048,deaths
bfa,Burkina Faso,48.0885495,deaths
bgd,Bangladesh,39.69243402,deaths
bgr,Bulgaria,-17.25687758,deaths
bih,Bosnia and Herzegovina,12.43073673,deaths
blr,Belarus,-7.739770329,deaths
bol,Bolivia (Plurinational State of),-1.398645314,deaths
bra,Brazil,-91.16827397,deaths
bwa,Botswana,-105.5448406,deaths
caf,Central African Republic,136.3236116,deaths
can,Canada,-65.50089963,deaths
che,Switzerland,-39.39052465,deaths
chl,Chile,1.69691808,deaths
chn,China,-143.090725,deaths
civ,C&#244;te d'Ivoire,7.730793499,deaths
cmr,Cameroon,48.40981936,deaths
cod,Democratic Republic of the Congo,57.27684038,deaths
cog,Congo,24.92316582,deaths
col,Colombia,-70.85059431,deaths
com,Comoros,21.30549901,deaths
cpv,Cabo Verde,16.95342621,deaths
cri,Costa Rica,-48.41387947,deaths
cub,Cuba,-4.746912624,deaths
cyp,Cyprus,-1.424171087,deaths
cze,Czechia,0.586099071,deaths
deu,Germany,-0.81506558,deaths
dji,Djibouti,-101.4358498,deaths
dnk,Denmark,-63.95666377,deaths
dom,Dominican Republic,8.631296775,deaths
dza,Algeria,-18.90689393,deaths
ecu,Ecuador,-4.577828192,deaths
egy,Egypt,-3.627871169,deaths
esp,Spain,0.019432092,deaths
est,Estonia,-10.02384606,deaths
eth,Ethiopia,42.23257717,deaths
fin,Finland,-6.102329501,deaths
fra,France,-35.89376679,deaths
gab,Gabon,-49.96027292,deaths
gbr,United Kingdom,-0.090174851,deaths
geo,Georgia,42.09672877,deaths
gha,Ghana,27.89954693,deaths
gin,Guinea,54.70104144,deaths
gmb,Gambia,34.25650359,deaths
gnb,Guinea-Bissau,92.9353087,deaths
gnq,Equatorial Guinea,-17.97940121,deaths
grc,Greece,-0.301840986,deaths
gtm,Guatemala,-15.83072728,deaths
hnd,Honduras,-43.03627689,deaths
hrv,Croatia,-90.34698945,deaths
hti,Haiti,-10.93038241,deaths
hun,Hungary,-19.07976734,deaths
idn,Indonesia,15.10886295,deaths
ind,India,45.25501812,deaths
irl,Ireland,-29.43802189,deaths
irn,Iran (Islamic Republic of),-16.58082586,deaths
irq,Iraq,-0.465707156,deaths
isl,Iceland,-0.978489536,deaths
isr,Israel,-0.014679676,deaths
ita,Italy,0.132216772,deaths
jam,Jamaica,6.248093063,deaths
jor,Jordan,-10.70233543,deaths
jpn,Japan,-0.057954909,deaths
kaz,Kazakhstan,8.089101165,deaths
ken,Kenya,29.88930966,deaths
kgz,Kyrgyzstan,-9.545453814,deaths
khm,Cambodia,88.30969323,deaths
kor,Republic of Korea,-46.29169039,deaths
kwt,Kuwait,-45.04308069,deaths
lao,Lao People's Democratic Republic,80.88895045,deaths
lbn,Lebanon,-0.588727887,deaths
lbr,Liberia,-8.963999998,deaths
lby,Libya,-94.33122795,deaths
lka,Sri Lanka,29.57541344,deaths
lso,Lesotho,78.34141854,deaths
ltu,Lithuania,2.134534622,deaths
lux,Luxembourg,-91.71843144,deaths
lva,Latvia,-68.6106351,deaths
mar,Morocco,4.526847429,deaths
mda,Republic of Moldova,-93.05236266,deaths
mdg,Madagascar,52.79703048,deaths
mex,Mexico,0.94121531,deaths
mkd,North Macedonia,3.164271922,deaths
mli,Mali,108.7235596,deaths
mmr,Myanmar,80.67265188,deaths
mne,Montenegro,-78.29039289,deaths
mng,Mongolia,-11.46860166,deaths
moz,Mozambique,61.74977648,deaths
mrt,Mauritania,-30.60393399,deaths
mwi,Malawi,69.26330669,deaths
mys,Malaysia,0.248186593,deaths
nam,Namibia,13.07457452,deaths
ner,Niger,0.358833153,deaths
nga,Nigeria,15.55361806,deaths
nic,Nicaragua,-2.907242018,deaths
nld,Netherlands,-0.003137509,deaths
nor,Norway,-0.945946717,deaths
npl,Nepal,15.01686731,deaths
nzl,New Zealand,-3.460723123,deaths
omn,Oman,-3.605658977,deaths
pak,Pakistan,37.09430505,deaths
pan,Panama,-4.29934955,deaths
per,Peru,-10.98204869,deaths
phl,Philippines,31.30000147,deaths
pol,Poland,6.328225182,deaths
pri,Puerto Rico,-0.002724136,deaths
prk,Democratic People's Republic of Korea,125.010981,deaths
prt,Portugal,0.282299988,deaths
pry,Paraguay,-8.121003175,deaths
pse,Palestine,-1.785992563,deaths
qat,Qatar,-58.2670538,deaths
rus,Russian Federation,0.991195389,deaths
rwa,Rwanda,8.450214286,deaths
sau,Saudi Arabia,-28.40037193,deaths
sen,Senegal,-35.74777116,deaths
sgp,Singapore,-0.065748624,deaths
sle,Sierra Leone,104.8097414,deaths
slv,El Salvador,5.390236916,deaths
srb,Serbia,9.660211739,deaths
svk,Slovakia,-0.301253367,deaths
svn,Slovenia,-14.15878323,deaths
swe,Sweden,-0.045347039,deaths
swz,Eswatini,44.27512353,deaths
syr,Syrian Arab Republic,-1.408498,deaths
tcd,Chad,124.9584901,deaths
tgo,Togo,32.96332675,deaths
tha,Thailand,-0.198467092,deaths
tjk,Tajikistan,-28.05491348,deaths
tkm,Turkmenistan,-0.130458676,deaths
tto,Trinidad and Tobago,-0.648616377,deaths
tun,Tunisia,-0.925141184,deaths
tur,Turkey,0.193074169,deaths
twn,Taiwan (Province of China),-50.73739046,deaths
tza,United Republic of Tanzania,63.96756049,deaths
uga,Uganda,56.20095189,deaths
ukr,Ukraine,6.417799721,deaths
ury,Uruguay,-37.47684555,deaths
usa,United States of America,-0.01456488,deaths
uzb,Uzbekistan,8.081664463,deaths
ven,Venezuela (Bolivarian Republic of),-12.55252597,deaths
vnm,Viet Nam,34.05028107,deaths
yem,Yemen,11.70114613,deaths
zaf,South Africa,-103.5803725,deaths
zmb,Zambia,15.34664448,deaths
zwe,Zimbabwe,5.71398242,deaths
afg,Afghanistan,-1313.028129,yll
ago,Angola,365.1876729,yll
alb,Albania,-1100.091398,yll
are,United Arab Emirates,726.1505027,yll
arg,Argentina,-11.54707829,yll
arm,Armenia,-46.22324233,yll
aus,Australia,-0.41725268,yll
aut,Austria,-0.263252854,yll
aze,Azerbaijan,-112.6155647,yll
bdi,Burundi,468.5460027,yll
bel,Belgium,-280.6313474,yll
ben,Benin,-69.11024589,yll
bfa,Burkina Faso,4382.167602,yll
bgd,Bangladesh,193.0423713,yll
bgr,Bulgaria,-932.6787988,yll
bih,Bosnia and Herzegovina,-2738.216693,yll
blr,Belarus,-6023.970752,yll
bol,Bolivia (Plurinational State of),-335.0797176,yll
bra,Brazil,313.6067914,yll
bwa,Botswana,3385.520279,yll
caf,Central African Republic,395.879934,yll
can,Canada,2721.381763,yll
che,Switzerland,1866.960735,yll
chl,Chile,-4912.954949,yll
chn,China,8615.297737,yll
civ,C&#244;te d'Ivoire,3274.333284,yll
cmr,Cameroon,46.17473208,yll
cod,Democratic Republic of the Congo,-3368.780547,yll
cog,Congo,-3740.322995,yll
